city,lat,lng
Kennard Corner,47.8201,-122.2076
Benge,46.9093,-118.1025
Granger,46.3455,-120.1925
Yarrow Point,47.6452,-122.2179
Lost Creek,48.6094,-117.3636
Moxee City,46.5537,-120.3831
Hockinson,45.7301,-122.4833
Oakville,46.8403,-123.2333
Tukwila,47.4748,-122.2727
Mabana,48.0945,-122.4151
Kangley,47.3618,-121.8801
Clallam Bay,48.2536,-124.2579
Newport,48.179,-117.0549
Enetai,47.5885,-122.6058
Clearview,47.8292,-122.1452
Sahalee,47.6348,-122.0554
Yelm,46.9398,-122.6261
Midway,47.3048,-122.5896
Olympia,47.0418,-122.8959
Endicott,46.9282,-117.6868
Lind,46.9703,-118.6162
Fife,47.2328,-122.3517
Newport Hills,47.5409,-122.1765
Upper Mill,47.1934,-121.9271
Upper Preston,47.5051,-121.9076
Pateros,48.0536,-119.8994
Nordland,48.0509,-122.691
Tyler,47.436,-117.7835
Camden,48.0474,-117.2399
Palisades,47.419,-119.9145
Rockport,48.4854,-121.6065
Port Orchard,47.516,-122.6615
Preston,47.5237,-121.9271
Tieton,46.7026,-120.756
Rochester,46.8288,-123.0722
Bingen,45.7139,-121.4704
Harbour Pointe,47.8857,-122.3051
Wellpinit,47.8879,-117.988
Glacier,48.8902,-121.9323
Farmington,47.0887,-117.0464
Eastsound,48.6968,-122.9055
Central Park,46.9705,-123.7018
Bremerton,47.5436,-122.7122
Friday Harbor,48.5324,-123.0656
Carnation,47.6446,-121.9048
Lake Shore,45.6911,-122.6911
Houghton,47.6609,-122.206
Lester,47.2093,-121.494
Lake Stevens,48.0029,-122.096
Mineral,46.7193,-122.1859
Lake Stickney,47.8709,-122.2596
Acme,48.7146,-122.2293
Oyehut,47.0232,-124.1631
Mossyrock,46.5305,-122.4887
Bridgeport,48.0063,-119.6737
Fobes Hill,47.9391,-122.1341
Rosario,48.6487,-122.876
Brewster,48.1034,-119.7751
Fox Island,47.2475,-122.6255
Canyon Park,47.7909,-122.1926
Rock Island,47.3743,-120.1382
High Rock,47.8129,-121.9826
Rockford,47.4513,-117.1307
Erlands Point,47.5998,-122.6929
Montesano,47.0102,-123.5858
Gorst,47.5237,-122.7057
Johnson,46.6316,-117.1379
Alderton,47.1718,-122.2192
Dusty,46.8102,-117.6519
Tekoa,47.2247,-117.0731
Bay Center,46.6211,-123.9533
La Center,45.8586,-122.6767
Mazama,48.5921,-120.404
Selleck,47.3757,-121.8684
Amanda Park,47.4532,-123.9194
Doris,46.8676,-120.0098
Sunnydale,47.4632,-122.3337
Van Zandt,48.789,-122.1918
McDonald,47.0713,-119.2156
Moclips,47.2348,-124.2025
Ocean Park,46.4961,-124.0443
West Valley,46.5921,-120.6051
Thompson Place,47.0554,-122.7835
Dungeness,48.1468,-123.1232
Birch Bay,48.923,-122.7543
